,sentence,scope
190,move money from one account to another,ins
191,transfer between two accounts,ins
192,make a transfer between accounts,ins
193,send money to another account,ins
194,i need ten dollars sent from b of a to washington mutual,ins
195,transfer fifty dollars between my chase and bank of america account,ins
196,deposit ten bucks from my chase account to my ally account,ins
197,put a hundred dollars in my ally account from bluebird,ins
198,i want seventy bucks transferred from b of a to chase,ins
199,can i initiate a one-time transfer from my savings account to my money market account,ins
200,please set a 4 minute timer,ins
201,please set a timer for 6 minutes,ins
202,set a timer for 5 minutes,ins
203,i need a 7 minute timer,ins
204,i need to set the timer for two minutes,ins
205,can you set a timer for me for fifteen minutes starting now,ins
206,start the timer now and stop at thirty minutes,ins
207,i would like you to set the timer to go off in ten minutes,ins
208,please set a timer for 40 minutes,ins
209,wake me in an hour,ins
210,please set a timer for cookies,ins
211,i want a timer set,ins
212,remind me in (x) hours,ins
213,set timer for (x) minutes,ins
214,i gotta have a 10 minute timer,ins
215,please set a timer for me,ins
216,i need a 10 minute timer,ins
217,i wish to have a 10 minute timer,ins
218,i really need to set a timer,ins
219,set a new timer for ten seconds,ins
220,set a timer for me,ins
221,i want a 10 minute timer,ins
222,i gotta set a timer,ins
223,set a 10 minute timer,ins
224,set a brand new timer for eight seconds,ins
225,set a ten second timer,ins
226,i must set a timer,ins
227,set a timer for twelve seconds,ins
228,set a timer for fifteen seconds,ins
229,tell me when two minutes are up,ins
230,start a timer for two minutes,ins
231,set a timer for two minutes,ins
232,start counting down from two minutes,ins
233,can you set a timer for two minutes,ins
234,"""please set 5 minute timer",ins
235,can u please set the timer for 5 minutes,ins
236,set timer of 5 minutes,ins
237,"""can u set a timer for 5 minutes",ins
238,set a one hour timer,ins
239,please set a timer for 20 minutes,ins
240,set a five minute timer please,ins
241,set a timer for two hours,ins
242,can you set a two hour timer,ins
243,set the timer for me please,ins
244,you need to set the timer for me,ins
245,i need you to set timer for me,ins
246,please set the timer for me,ins
247,i would like a timer set,ins
248,can you set a timer,ins
249,i need you to set a time,ins
250,i need a timer set for 15 minutes,ins
251,start a countdown for 20 minutes,ins
252,set a timer for 15 minutes,ins
253,i'll need you to set a timer for 10 minutes,ins
254,let's get a timer set for 5 minutes,ins
255,set a timer for 35 minutes,ins
256,please start counting down from 10 minutes,ins
257,let's get a timer going for 10 minutes,ins
258,i need a timer for 20 seconds,ins
259,timer 5 minutes,ins
260,alert me in 20 minutes,ins
261,give me a 10 minute countdown,ins
262,let me know in 15 minutes please,ins
263,"i'm cooking an egg, timer for 3 mins",ins
264,10 minute timer,ins
265,start a timer for 10 minutes,ins
266,timer 10 minutes,ins
267,count down 10 minutes,ins
268,make up a timer for me,ins
269,create a timer for me,ins
270,can you set a timer for me,ins
271,i need to set a timer,ins
272,set up a timer,ins
273,could you start a timer for me,ins
274,lets set a timer for me,ins
275,please run a timer for me,ins
276,set a one minute timer,ins
277,set a five minute timer,ins
278,set a seven minute timer,ins
279,start a timer for me,ins
280,set a four minute timer,ins
281,set a six minute timer,ins
282,how do i set a timer,ins
283,i want a timer for 5 minutes,ins
284,timer for 5 minutes,ins
285,set a timer to go off in 5 minutes,ins
286,set timer for 5 minutes,ins
287,i want to set a timer,ins
288,make a timer for 5 minutes,ins
289,please set a timer for,ins
290,remind me that time is up in sixty minutes,ins
291,set an alarm for nine minutes from now,ins
292,tell me when ninety minutes have passed,ins
293,please set timer for 4 pm,ins
294,want 5 minute timer,ins
295,set 30 minute timer,ins
296,get a 3 minute timer,ins
297,"please, can you set the timer for me",ins
298,can you please the timer,ins
299,will you set the timer,ins
300,what is the meaning of realism,ins
301,what is regard mean,ins
302,what is the meaning of interorganizational,ins
303,what is it is all relative mean,ins
304,what is intercontinental mean,ins
305,what is the meaning of supercede,ins
306,what is let it be mean,ins
307,what is the definition of incomprehensible,ins
308,what is the meaning of stupendous,ins
309,what is the definition of intelligent,ins
310,what is good riddance mean,ins
311,what is break a leg mean,ins
312,what is the meaning of hyperactive,ins
313,what is the definition of valor,ins
314,what is stupedous meant,ins
315,find the meaning of qat,ins
316,what the heck is qat,ins
317,define qat for me,ins
318,read me a definition for qat,ins
319,look up qat please,ins
320,what might the meaning of altruism be,ins
321,exactly what does altruism mean,ins
322,what does altruism mean,ins
323,what is the definition of altruism,ins
324,what is the meaning of altruism,ins
325,affiliate's definition is what,ins
326,the definition of affiliate is,ins
327,what's the meaning of affiliate,ins
328,what's affiliate definition,ins
329,definition of affiliate is what,ins
330,whats the definition of poor,ins
331,"describe the meaning of ""dog",ins
332,"what does ""money"" mean",ins
333,tell me what the word die means,ins
334,what is the definition of succumb,ins
335,what is the meaning of telepathy,ins
336,what does tertiary mean,ins
337,tell me the definition of the word redemption,ins
338,what is the meaning of the word lux,ins
339,what is an ataraxy,ins
340,what does the word ataraxy mean,ins
341,what does ataraxy mean,ins
342,use the word ataraxy in a sentence,ins
343,define ataraxy,ins
344,what does discretionary mean,ins
345,define discretionary,ins
346,i want to know the definition of discretionary,ins
347,can you give the definition of deiscretionary,ins
348,let's hear the definition of iridium,ins
349,what's the definition of analogy,ins
350,can you tell me the definition of sucrose,ins
351,definition of anachronism,ins
352,what's the definition of patriarchy,ins
353,can you tell me the definition of yttrbium,ins
354,please share the definition of episcopalian,ins
355,what does saffron mean,ins
356,define sonogram,ins
357,define thoroughbred,ins
358,what's the meaning of a fortnight,ins
359,what is an anachronism,ins
360,what's the meaning of emulsify,ins
361,tell me what cyst means,ins
362,what is the definition of flange,ins
363,tell me what flange means,ins
364,define flange,ins
365,flange means what,ins
366,what is the meaning of flange,ins
367,"what does ""rescind"" mean",ins
368,"what is the meaning of word ""rescind",ins
369,"is ""rescind"" a word of positive connotation",ins
370,"where i can use word ""rescind",ins
371,read me the definition of ajar,ins
372,what does ajar mean,ins
373,can you show me the dictionary definition of ajar,ins
374,tell me what monstrosity means,ins
375,give me the definition of ajar,ins
376,what is the definition of didactic,ins
377,i need to know what adumbrate means can you look it up for me now,ins
378,i want to know what the word discomfit means,ins
379,find what the word diaphanous mean please,ins
380,do you know what calumny means  please look it up for me,ins
381,find out what the word abrogate means for me,ins
382,tell me what edict means,ins
383,what does the word abjure mean,ins
384,can you tell me what dirge means,ins
385,tell me what the word arboreal means,ins
386,whats the definition of transmute,ins
387,what is the meaning of the word slander,ins
388,what is meant by defense,ins
389,tell me what the word bounty means,ins
390,what does deceive mean,ins
391,define zesty,ins
392,look up zesty in dictionary,ins
393,definition of zesty,ins
394,what is the definition of zesty,ins
395,what does zesty mean,ins
396,tell me what alternative means,ins
397,what does alternative mean,ins
398,give me the meaning of alternative,ins
399,tell me the meaning of alternative,ins
400,does life have meaning,ins
401,is being alive the meaning of life,ins
402,what is the real meaning of life,ins
403,what is the answer to the meaning of life,ins
404,is there really an answer to the meaning of life,ins
405,does life have a meaning,ins
406,who can tell me if there's any meaning to life,ins
407,what makes life have any meaning,ins
408,why do you think we're here,ins
409,what's the answer to existence,ins
410,what's the point of sentience,ins
411,what's the purpose of existence,ins
412,what's the purpose of life,ins
413,what's the point of this dumpster fire known as life,ins
414,what is life's meaning,ins
415,is there a greater purpose in life,ins
416,what is our purpose in life,ins
417,how is life in existence,ins
418,what's lifes meaning,ins
419,what exactly is the meaning of life,ins
420,whats lifes meaning exactly,ins
421,what's the meaning of this life,ins
422,what is the meaning of life here,ins
423,does my life have meaning,ins
424,i wish to know the meaning of life,ins
425,i wanna know the meaning of life,ins
426,i wanna know the point of life,ins
427,i need to know the point of life,ins
428,i must know the point of life,ins
429,tell the meaning of life,ins
430,i gotta know the meaning of life,ins
431,what is your take on the meaning of life,ins
432,tell me what is the purpose of life,ins
433,what meaning does life hold,ins
434,what do you think is the meaning of like,ins
435,how do i find the meaning of life,ins
436,what is the purpose of exsistance,ins
437,what is your version on the meaning of life,ins
438,what is your explanation for the meaning of life,ins
439,what is the purpose of creation,ins
440,can you figure out the meaning of life,ins
441,whats your take on the meaning of life,ins
442,can you explain the meaning of life to me,ins
443,what is life all about,ins
444,can you explain the meaning of life,ins
445,"what's the point of life, anyways",ins
446,the meaning of life please,ins
447,the meaning of life,ins
448,i'd like to me told the meaning of life,ins
449,do you know the meaning of life,ins
450,say what the meaning of life is,ins
451,can you tell me life's meaning,ins
452,what's the meaning of my life,ins
453,what is the underlying purpose to life,ins
454,what do you think about the meaning of life,ins
455,what is life’s meaning,ins
456,help me figure out the meaning of life,ins
457,"would you tell me the meaning of life, please",ins
458,"could you tell me the meaning of life, please",ins
459,can you tell me the meaning of life,ins
460,could you tell me the meaning of life,ins
461,"can you tell me the meaning of life, please",ins
462,what does life mean to you,ins
463,is there really a meaning of life,ins
464,is there any meaning to being alive,ins
465,what is the meaning of my life,ins
466,what is the point of life,ins
467,what's the point of everything,ins
468,is there a meaning to life,ins
469,why are we here in life,ins
470,can you share the meaning of life,ins
471,research the meaning of life,ins
472,can you tell me what you think the meaning of life is,ins
473,what is our purpose here on earth,ins
474,is love the meaning of life,ins
475,is there a reason people exist,ins
476,what is the secret or meaning to life,ins
477,what does life mean on a deeper level,ins
478,how would you put what life is all about,ins
479,how would you describe what life means,ins
480,what do people say life means or the meaning is,ins
481,life has what meaning or what's the secret to it,ins
482,where is there meaning in life,ins
483,what is the meaning of this life,ins
484,do you know what the meaning of life is,ins
485,what's life's meaning,ins
486,"does life have a meaning, according to you",ins
487,does this life have a meaning,ins
488,can you share with me your interpretation of the meaning of life,ins
489,what do you think is the meaning of life,ins
490,is there a meaning in life,ins
491,i wonder if you can explain the meaning of life,ins
492,"i always wonder about the meaning of life, can you tell me",ins
493,what's my meaning in life,ins
494,define the meaning of life,ins
495,meaning of life is,ins
496,what is your perception of the meaning of life,ins
497,whats the meaning of life,ins
498,what do you think the meaning of life is,ins
499,what is behind life's meaning,ins
500,how to create a new aaa insurance plan,ins
501,website to start aaa new insurance plan,ins
502,aaa insurance start new plan,ins
503,i want to start a new aaa insurance plan,ins
504,is new this a good insurance plan for me,ins
505,what do i do to get new insurance,ins
506,new insurance is obtainable how,ins
507,how is new insurance gotten,ins
508,what do i do for new insurance,ins
509,"how do i get new insurance, please",ins
510,how can i obtain new insurance,ins
511,"how can i obtain new insurance, please",ins
512,"how can i get new insurance, please",ins
513,how do i make my insurance policy different,ins
514,how do i change my insurance policy,ins
515,how do i modify my insurance policy,ins
516,how do i alter my insurance policy,ins
517,how do i get different terms on my insurance policy,ins
518,help me change my insurance plan,ins
519,i would like a new insurance plan,ins
520,connect me with some new insurance,ins
521,i need a newer insurance plan,ins
522,my insurance plan needs to be changed,ins
523,what rental insurance policy do you recommend,ins
524,help me find a new auto insurance policy,ins
525,find the best life insurance for me,ins
526,i need new home owners insurance,ins
527,i need new health care coverage,ins
528,how do i change my current insurance to a new plan with lower co-pay,ins
529,what steps do i need to take to switch my insurance plan from an hmo to a high deductible ppo plan,ins
530,i need to change my insurance to a plan with a lower deductible,ins
531,how do i go about changing my insurance to a new low monthly premium plan,ins
532,i would like to change my insurance from a ppo to an hmo plan,ins
533,help me figure out getting new insurance,ins
534,i would like to get a new insurance plan,ins
535,i want help adjusting my insurance policy,ins
536,i am hoping to switch insurance plans,ins
537,i need help acquiring new insurance,ins
538,walk me through the process of getting new insurance,ins
539,i am interested in acquiring new insurance,ins
540,how can i acquire new insurance,ins
541,what must i do if i want to adjust my insurance policy,ins
542,what is the protocol for modifying my insurance policy,ins
543,i dont like my current insurance plan and want a new one,ins
544,walk me through making changes to my insurance policy,ins
545,i need new insurance but dont know how to get it,ins
546,i am thinking of switching to a different insurance plan,ins
547,help me modify my insurance policy,ins
548,could you help me out with a new renters' insurance plan,ins
549,i'd like a new life insurance plan,ins
550,can you help me with a new car insurance plan,ins
551,i need to get a new motorcycle insurance plan,ins
552,can i get a new pet insurance plan,ins
553,where do i go to get new insurance,ins
554,"i need new insurance, how do i get it",ins
555,how do i apply for new insurance,ins
556,i would like you to help me get on another united healthcare insurance plan,ins
557,can you help me get on a new united healthcare insurance plan,ins
558,i want to find a new united healthcare plan to get on,ins
559,i'd like to get on a new united healthcare plan,ins
560,i need to get on a new united healthcare insurance plan,ins
561,help make changes to my insurance policy,ins
562,i must switch to a new insurance plan,ins
563,i need help to make changes to my insurance policy,ins
564,i gotta switch to a new insurance plan,ins
565,help me make changes to my insurance policy,ins
566,i need to switch to a new insurance plan,ins
567,i really need to switch to a new insurance plan,ins
568,i would like to make changes to my insurance policy,ins
569,i need to make changes to my insurance policy,ins
570,i shall switch to a new insurance plan,ins
571,how do i update my insurance,ins
572,how can i get new insurance,ins
573,how can i find out about new insurance,ins
574,i need to find new insurance,ins
575,"i need to get new insurance, how do i do it",ins
576,can you switch me to a new insurance plan,ins
577,i would like to switch to a different insurance plan,ins
578,help me switch to a new insurance plan,ins
579,switch my insurance plan to a new one,ins
580,what are my options for new insurance plans,ins
581,i want to shop for new insurance plans,ins
582,i would like to switch my insurance plan,ins
583,help me find new insurance providers,ins
584,i would like to compare insurance plan options,ins
585,i need a new house insurance plan,ins
586,i want to get a new car insurance plan,ins
587,i need new health insurance,ins
588,i want a new policy with long-term care insurance,ins
589,i want a new motorcycle insurance plan,ins
590,how do i adjust my insurance policy,ins
591,my insurance policy needs to be adjusted,ins
592,i am in need of a switch to my insurance plan,ins
593,walk me through on how to change my insurance,ins
594,i wish to request a change in insurance plans,ins
595,i would like to alter my insurance plan,ins
596,i need to know how to change my insurance,ins
597,i want to switch my insurance coverage,ins
598,help me change my insurance,ins
599,how do i replace my insurance,ins
600,i need help finding my mobile phone,ins
601,help me figure out where my cell phone is,ins
602,give me a hand finding my mobile device,ins
603,i can't find my cell and need help locating it,ins
604,can you help me find my cell,ins
605,"help, i cannot find my phone",ins
606,i can't seem to find my phone,ins
607,are you able to track a phone,ins
608,my phone cannot be found,ins
609,i have misplaced my phone,ins
610,i don't know where i left my phone,ins
611,i left my phone somewhere,ins
612,i am looking for my phone,ins
613,i need you to find my phone,ins
614,please locate my phone,ins
615,can you help me find my lost phone,ins
616,i need help figuring out where my phone is,ins
617,please help me figure out where my lost phone is,ins
618,"please help me find my phone, because i lost it",ins
619,"i lost my phone, can you help me find it",ins
620,who has seen my cellphone,ins
621,have you seen my cellphone,ins
622,can you find my cellphone,ins
623,find my cellphone,ins
624,please help me find my phone,ins
625,where my phone,ins
626,where was the last place i had my phone,ins
627,can you find my iphone,ins
628,i can't find my phone,ins
629,"call my phone, i can't find it",ins
630,can you find my lost phone,ins
631,do you know where my phone is,ins
632,can you help me find my cellphone,ins
633,can you call my cellphone,ins
634,my phone is lost - can you help me find it,ins
635,where is my phone,ins
636,ai can you help me find my phone,ins
637,"ai, i lost my phone, help me find it please",ins
638,"ai, please help me find my phone",ins
639,ai locate my phone,ins
640,ai find my phone,ins
641,how can i find my phone,ins
642,"my phone is lost, can you help with that",ins
643,i need to locate my phone,ins
644,find out where my phone is,ins
645,help me find my phone,ins
646,locate my phone please,ins
647,what is the location of my phone,ins
648,my phone is currently lost,ins
649,i don't remember where my phone is,ins
650,locate my phone for me,ins
651,the location of my phone is unknown to me,ins
652,find my phone,ins
653,i need to find my phone,ins
654,please aid in my searching for my lost phone,ins
655,please help me locate my phone,ins
656,where did i last place my phone,ins
657,can you assist me in locating my phone,ins
658,is my phone in the house,ins
659,i lost my phone and need help retrieving it,ins
660,help me search for my phone,ins
661,misplaced my phone,ins
662,can you help locate my phone,ins
663,"i need my phone, but can't find it",ins
664,i lost my phone and need assistance,ins
665,i don't know where my phone is,ins
666,i can't find my phone do you know where it is,ins
667,please tell me where my phone is,ins
668,can you help me find my phone,ins
669,do you know where my phone is located now,ins
670,can you track the location of my phone,ins
671,where can i find my phone,ins
672,can you locate my phone,ins
673,do you know where i left my phone,ins
674,where is my phone now,ins
675,"alexa, tell me the location of my phone",ins
676,"siri, where is my iphone",ins
677,"siri, tell me where my iphone is",ins
678,"siri, find my iphone",ins
679,help me locate my phone,ins
680,you need to help me find my cellphone,ins
681,help me find my cellphone,ins
682,please help me find my cellphone,ins
683,where did i put my phone,ins
684,tell me where my phone is,ins
685,please find my phone,ins
686,locate my phone,ins
687,i would like some help finding my phone,ins
688,i need to know where my phone is,ins
689,i seemed to misplaced my phone,ins
690,i lost my phone,ins
691,i need some help finding my phone,ins
692,can you locate my phone for me,ins
693,i don't know where i put my phone,ins
694,help find my phone,ins
695,i would like to know where my phone is,ins
696,i'd like help finding my fon,ins
697,i can't locate my phone,ins
698,can you tell me where i left my phone,ins
699,can you please locate my phone,ins
700,does ireland have any travel alerts i should be aware of,ins
701,does north korea have any travel alerts i should be aware of,ins
702,are there any travel alerts for russia,ins
703,does spain have any travel alerts i should be aware of,ins
704,are there any travel alerts for north korea,ins
705,does macedonia have any travel alerts i should be aware of,ins
706,are there any travel alerts for syria,ins
707,are there any travel alerts for ukraine,ins
708,does myanmar have any travel alerts i should be aware of,ins
709,are there any travel alerts for china,ins
710,is there a travel alert for russia,ins
711,is there a travel alert for scotland,ins
712,does russia have any travel alerts i should be aware of,ins
713,is it safe to travel to iceland,ins
714,is it safe to travel to russia,ins
715,does italy have any travel alerts i should be aware of,ins
716,does germany have any travel alerts i should be aware of,ins
717,is there a travel alert for north korea,ins
718,does china have any travel alerts i should be aware of,ins
719,is there a travel alert for canada,ins
720,is it safe to travel to norway,ins
721,is it safe to travel to bermuda,ins
722,is it safe to travel to argentina,ins
723,does finland have any travel alerts i should be aware of,ins
724,is there a travel alert for spain,ins
725,have there been any travel alerts issued for france,ins
726,tell me about any travel alerts issued for germany,ins
727,are there any travel warnings for london,ins
728,should i know about any travel alerts before traveling in the usa,ins
729,are there any new travel warnings for the us,ins
730,any travel advisories for portugal,ins
731,can you tell me if germany issued any travel warnings,ins
732,does france have any current travel alerts,ins
733,does spain expect any travel alerts,ins
734,i am going to australia and want to be notified of any travel alerts,ins
735,"i am going to be traveling in turkey, are there any alerts",ins
736,are there any alerts for traveling in belize,ins
737,what alerts are listed for traveling to paris,ins
738,i need to know about travel alerts for mexico,ins
739,what travel alerts are there in china,ins
740,are there any alerts for travelling to beirut,ins
741,argentina travel alert yes or no,ins
742,does argentina have a travel alert,ins
743,is there a travel alert in argentina,ins
744,list of countries with travel alerts,ins
745,can traveling to nepal be safe (what's safe in x),ins
746,will i be safe while traveling to lyon (will you be safe),ins
747,how safe is it to travel to mongolia (how safe is mongolia),ins
748,is it safe to travel to rio de janeiro (is rio de janeiro safe),ins
749,is traveling to dublin safe (will dublin be safe),ins
750,is new caledonia safer than other countries,ins
751,is las vegas a safe place to visit,ins
752,if i go to baltimore will i be safe,ins
753,"can you give me the travel alerts for jalisco, mexico",ins
754,what are the latest travel alerts for dubai,ins
755,"are there any travel alerts i should know about for buenos aires, argentina",ins
756,i need any relevant travel alerts for australia,ins
757,are there travel notifications for columbia,ins
758,where in the world is there a travel alert,ins
759,what are today's travel advisories,ins
760,can you list the places that there are travel alerts for,ins
761,where are there current travel alerts,ins
762,is there a travel alert for [country],ins
763,if i got to indonesia is it safe,ins
764,i am thinking of going to brazil and was wondering if that is hazardous,ins
765,would it be safe to go to columbia,ins
766,is mexico a safe place,ins
767,what potential hazards are there for going to spain,ins
768,does a travel alert exist for that country,ins
769,inform me if there's a travel alert for the country,ins
770,does the country have a travel alert,ins
771,i'd like to see if there's a travel alert for the country,ins
772,can you tell me if there's a travel alert for that country,ins
773,any travel alerts for south korea,ins
774,are there travel alerts for europe,ins
775,what are the currect travel alerts in africa,ins
776,can i safely travel to brazil,ins
777,does japan have any travel alerts i should be aware of,ins
778,is there travel alerts for greece,ins
779,how safe is it to travel to germany,ins
780,is it safe to travel to china,ins
781,is it safe to fly to russia,ins
782,does france have any travel alerts i should be aware of,ins
783,look for travel alerts for china,ins
784,does south korea have any travel alerts i should be aware of,ins
785,is it dangerous to travel to mexico,ins
786,any travel alerts for canada,ins
787,any travel alerts for that country i should know about,ins
788,are there any travel alerts in that region,ins
789,i need to know the travel alerts for kenya,ins
790,any alerts for travelers to canada,ins
791,should i be worried about any travel alerts for that country,ins
792,look up travel alerts for canada,ins
793,is there a travel alert for that country,ins
794,find if there are any travel alerts for canada,ins
795,search for any travel alerts for canada,ins
796,does kenya have any travel alerts right now,ins
797,check travel alerts for kenya,ins
798,do i need to read any travel alerts for kenya,ins
799,search for travel alerts for kenya,ins
800,how do i put in a pto request for the first to the ninth,ins
801,am i allowed to put in a pto request for now to april,ins
802,is there a time i can put in a pto request for dec 2 to new years,ins
803,when can i put a pto request in for feb 22 to march 1,ins
804,i need a pto request on march 1 to 2,ins
805,on march 1-2 i want a pto request made for me,ins
806,schedule a pto request for me on march 1-2,ins
807,for march 1 to 2 make a pto request for me,ins
